Name,id,Avg. Humidity,,,ase,nai
Bangladesh,121269,41.43661972,,,121269,
Afghanistan,202001,57.92957746,,,202001,
Albania,202003,70.30985915,,,202003,
Algeria,202004,62.42253521,,,202004,
Andorra,202006,76.97183099,,,202006,202005
Angola,202007,77.66197183,,,202007,
Antigua and Barbuda,202010,74.81690141,,,202010,202008
Argentina,202011,45.84507042,,,202011,
Armenia,202012,57.28169014,,,202012,
Australia,202014,65.46478873,,,202014,202013
Austria,202015,62.83098592,,,202015,
Azerbaijan,202016,66.11267606,,,202016,
Bahamas,202017,76.56338028,,,202017,
Bahrain,202018,63.12676056,,,202018,
Barbados,202020,74.70422535,,,202020,
Belarus,202021,77.26760563,,,202021,
Belgium,202022,75.02816901,,,202022,
Belize,202023,80.92957746,,,202023,
Benin,202024,69.74647887,,,202024,
Bhutan,202026,73.4084507,,,202026,202025
Bolivia (Plurinational State of),202027,75.35211268,,,202027,
Bosnia and Herzegovina,202029,82.18309859,,,202029,
Botswana,202030,45.90140845,,,202030,
Brazil,202032,82.15492958,,,202032,
Brunei Darussalam,202037,81.95774648,,,202037,202033
Bulgaria,202038,75.1971831,,,202038,202034
Burkina Faso,202039,11.98591549,,,202039,202035
Burundi,202040,80.25352113,,,202040,202036
Cambodia,202041,55.43661972,,,202041,
Cameroon,202042,67.87323944,,,202042,
Canada,202043,87.64788732,,,202043,
Cabo Verde,202044,79.5915493,,,202044,
Central African Republic,202046,37.94366197,,,202046,202045
Chad,202047,14.63380282,,,202047,
Chile,202048,37.78873239,,,202048,
China,202049,36.84507042,,,202049,
Colombia,202052,80.21126761,,,202052,202050
Costa Rica,202057,75.46478873,,,202057,202051
Croatia,202058,65.49295775,,,202058,202053
Cuba,202059,76,,,202059,202054
Cyprus,202061,70.85915493,,,202061,202055
Denmark,202063,78.71830986,,,202063,202056
Djibouti,202064,71.57746479,,,202064,202062
Dominica,202065,75.36619718,,,202065,
Dominican Republic,202066,78.66197183,,,202066,
Ecuador,202067,73.97183099,,,202067,
Egypt,202068,49.69014085,,,202068,
El Salvador,202069,65.54929577,,,202069,
Equatorial Guinea,202070,78.95774648,,,202070,
Eritrea,202071,51.07042254,,,202071,
Estonia,202072,79.18309859,,,202072,
Ethiopia,202073,56.74647887,,,202073,
Fiji,202076,73.91549296,,,202076,202074
Finland,202077,78.6056338,,,202077,202075
France,202078,69.53521127,,,202078,
Gabon,202082,77.61971831,,,202082,202079
Gambia,202083,49.84507042,,,202083,202080
Georgia,202084,59.3943662,,,202084,202081
Germany,202085,71.04225352,,,202085,
Ghana,202086,71.94366197,,,202086,
Greece,202088,80.29577465,,,202088,202087
Grenada,202090,76.33802817,,,202090,202089
Guatemala,202093,72.21126761,,,202093,202091
Guinea,202095,71.52112676,,,202095,202092
Guinea-Bissau,202096,48.98591549,,,202096,202094
Guyana,202097,78.23943662,,,202097,
Haiti,202098,71.97183099,,,202098,
Honduras,202101,67.81690141,,,202101,
Hungary,202103,62.11267606,,,202103,202102
Iceland,202104,75.15492958,,,202104,
India,202105,42.71830986,,,202105,
Indonesia,202106,82.43661972,,,202106,
Cote d'Ivoire,202107,57.21126761,,,202107,
Iran (Islamic Republic of),202108,45.50704225,,,202108,
Iraq,202109,40.92957746,,,202109,
Ireland,202110,79.12676056,,,202110,
Israel,202112,70.71830986,,,202112,202111
Italy,202113,64.01408451,,,202113,
Jamaica,202114,73.87323944,,,202114,
Japan,202115,77.91549296,,,202115,
Jordan,202117,68.42253521,,,202117,202116
Kazakhstan,202118,88.88732394,,,202118,
Kenya,202119,71.67605634,,,202119,
Kuwait,202121,50.22535211,,,202121,202120
Kyrgyzstan,202122,61.85915493,,,202122,
Lao People's Democratic Republic,202123,83.57746479,,,202123,
Latvia,202124,75.18309859,,,202124,
Lebanon,202125,66.32394366,,,202125,
Liberia,202127,79.83098592,,,202127,202126
Libya,202128,54.08450704,,,202128,
Liechtenstein,202129,78.38028169,,,202129,
Lithuania,202130,76.76056338,,,202130,
Luxembourg,202131,80.57746479,,,202131,
Malaysia,202136,73.07042254,,,202136,202132
